FirstName,LastName,Age,Pos,Tm,H/A,Opp,Column2,Date,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM
Chuma,Okeke,22-135,F,ORL,H,PHI,L,12/31/2020,0,17,2,4,0.5,0,0,,2,4,0.5,0,0,0,0,1,1,1,0,0,1,1,6,3.6,-1.3
Aaron,Gordon,25-102,F,ORL,A,WAS,W,12/27/2020,1,20,1,4,0.25,1,3,0.333,0,1,0,2,2,1,0,6,6,0,0,0,0,0,4,3.4,-8
Gary,Clark,26-049,F,ORL,H,CLE,W,1/4/2021,0,21,2,5,0.4,0,1,0,2,4,0.5,0,0,0,2,3,5,0,0,0,2,1,6,3.2,-3.9
Michael,Carter-Williams,29-080,G,ORL,A,OKC,W,12/29/2020,0,24,2,6,0.333,2,6,0.333,0,0,0,0,0,0,2,6,8,2,1,0,1,5,4,3.2,-8.4
Gary,Clark,26-045,F,ORL,H,PHI,L,12/31/2020,0,10,1,2,0.5,1,1,1,0,1,0,1,1,1,0,2,2,0,0,0,0,0,3,2.6,-2.8
Evan,Fournier,28-063,G-F,ORL,H,PHI,L,12/31/2020,1,8,1,3,0.333,1,1,1,0,2,0,1,1,1,0,1,1,2,0,0,0,1,3,2.6,-1.3
Chuma,Okeke,22-130,F,ORL,A,WAS,W,12/26/2020,0,18,1,4,0.25,1,3,0.333,0,1,0,1,2,0.5,1,2,3,2,0,0,0,1,3,2.5,-6.6
Markelle,Fultz,22-222,G,ORL,H,CLE,W,1/6/2021,1,4,1,3,0.333,1,3,0.333,0,0,0,1,1,1,0,0,0,0,1,0,0,0,3,2.3,
Markelle,Fultz,22-220,G,ORL,H,CLE,W,1/4/2021,1,31,3,9,0.333,3,8,0.375,0,1,0,0,0,0,0,5,5,8,0,0,5,2,6,2.2,-11.4
Cole,Anthony,20-236,G,ORL,H,CLE,W,1/6/2021,0,32,4,12,0.333,4,8,0.5,0,4,0,0,0,0,0,4,4,3,0,1,3,1,8,1.8,
Gary,Clark,26-047,F,ORL,H,OKC,L,1/2/2021,0,18,0,2,0,0,0,,0,2,0,0,0,0,2,4,6,1,2,0,1,3,0,1.7,-2.3
Aaron,Gordon,25-106,F,ORL,H,PHI,L,12/31/2020,1,21,1,8,0.125,1,4,0.25,0,4,0,4,5,0.8,0,3,3,1,0,2,2,0,6,1.4,-9.8
Gary,Clark,26-051,F,ORL,H,CLE,W,1/6/2021,1,28,1,4,0.25,0,1,0,1,3,0.333,0,0,0,1,3,4,1,0,0,0,4,3,1.3,
Chuma,Okeke,22-131,F,ORL,A,WAS,W,12/27/2020,0,16,0,0,,0,0,,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,1.1,-4.6
Mohamed,Bamba,22-237,C,ORL,H,CLE,W,1/4/2021,0,4,0,0,,0,0,,0,0,0,0,0,0,0,2,2,1,0,1,1,1,0,0.6,2.5
Karim,Mané,20-235,G,ORL,H,CLE,W,1/6/2021,0,4,0,1,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,2,0.3,
Karim,Mané,20-233,G,ORL,H,CLE,W,1/4/2021,0,3,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.5
Dwayne,Bacon,25-125,G,ORL,H,OKC,L,1/2/2021,1,30,2,11,0.182,2,7,0.286,0,4,0,1,1,1,0,4,4,1,1,0,0,3,5,-0.2,-13.6
Cole,Anthony,20-232,G,ORL,H,OKC,L,1/2/2021,0,17,1,7,0.143,1,5,0.2,0,2,0,0,0,0,2,3,5,1,0,0,0,2,2,-0.3,-15.7
Jordan,Bone,23-060,G,ORL,H,CLE,W,1/4/2021,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.4,-19.3
Gary,Clark,26-041,F,ORL,A,WAS,W,12/27/2020,0,9,0,2,0,0,0,,0,2,0,0,0,0,1,2,3,1,0,0,1,1,0,-0.8,-15.8
Michael,Carter-Williams,29-084,G,ORL,H,OKC,L,1/2/2021,1,31,2,11,0.182,2,7,0.286,0,4,0,0,0,0,4,5,9,1,0,0,1,5,4,-0.9,-16.3
Karim,Mané,20-229,G,ORL,H,PHI,L,12/31/2020,0,19,0,3,0,0,3,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,-1.3,-13.7
Dwayne,Bacon,25-115,G,ORL,H,MIA,W,12/23/2020,1,19,0,5,0,0,4,0,0,1,0,0,0,0,0,3,3,3,0,0,0,2,0,-1.3,-12.7
Mohamed,Bamba,22-239,C,ORL,H,CLE,W,1/6/2021,0,4,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,-1.9,
Michael,Carter-Williams,29-086,G,ORL,H,CLE,W,1/4/2021,1,18,0,4,0,0,2,0,0,2,0,0,0,0,1,0,1,3,0,1,2,2,0,-2.1,-11.8
