FirstName,LastName,Age,Pos,Date,Tm,H/A,Opp,Outcome,GmSc,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,BPM
Terrence,Ross,29-341,F-G,1/11/2021,ORL,,MIL,L,2.2,0,25,2,6,0.333,2,4,0.5,0,2,0,0,0,,0,3,3,3,2,0,3,1,4,-9.4
Khem,Birch,28-114,C-F,1/20/2021,ORL,@,MIN,W,2.1,0,26,0,5,0,0,4,0,0,1,0,2,4,0.5,4,2,6,1,1,1,1,1,2,-10.7
Gary,Clark,26-065,F,1/20/2021,ORL,@,MIN,W,1.9,0,8,0,0,,0,0,,0,0,,0,0,,1,4,5,0,0,0,0,0,0,-2.6
Cole,Anthony,20-236,G,1/6/2021,ORL,,CLE,W,1.8,0,32,4,12,0.333,4,8,0.5,0,4,0,0,0,,0,4,4,3,0,1,3,1,8,-10.3
Gary,Clark,26-060,F,1/15/2021,ORL,@,BOS,L,1.8,0,27,1,4,0.25,1,2,0.5,0,2,0,1,2,0.5,0,3,3,0,1,1,1,0,3,-7.6
Gary,Clark,26-047,F,1/2/2021,ORL,,OKC,L,1.7,0,18,0,2,0,0,0,,0,2,0,0,0,,2,4,6,1,2,0,1,3,0,-2.3
Gary,Clark,26-067,F,1/22/2021,ORL,@,IND,L,1.4,0,10,0,0,,0,0,,0,0,,0,0,,3,1,4,0,0,0,1,0,0,-6.6
Aaron,Gordon,25-106,F,12/31/2020,ORL,,PHI,L,1.4,1,21,1,8,0.125,1,4,0.25,0,4,0,4,5,0.8,0,3,3,1,0,2,2,0,6,-9.8
Gary,Clark,26-056,F,1/11/2021,ORL,,MIL,L,1.3,0,19,1,4,0.25,1,1,1,0,3,0,0,0,,2,1,3,2,0,0,1,1,2,-8.5
Gary,Clark,26-051,F,1/6/2021,ORL,,CLE,W,1.3,1,28,1,4,0.25,0,1,0,1,3,0.333,0,0,,1,3,4,1,0,0,0,4,3,-4.9
Karim,Mané,20-244,G,1/15/2021,ORL,@,BOS,L,1.2,0,6,1,2,0.5,0,1,0,1,1,1,0,0,,0,0,0,0,0,0,0,2,3,-2.8
Chuma,Okeke,22-131,F,12/27/2020,ORL,@,WAS,W,1.1,0,16,0,0,,0,0,,0,0,,0,0,,1,0,1,2,0,0,1,0,0,-4.6
Karim,Mané,20-237,G,1/8/2021,ORL,@,HOU,L,0.8,0,21,0,3,0,0,2,0,0,1,0,2,2,1,0,5,5,1,0,1,2,0,2,-12.4
Mohamed,Bamba,22-237,C,1/4/2021,ORL,,CLE,W,0.6,0,4,0,0,,0,0,,0,0,,0,0,,0,2,2,1,0,1,1,1,0,2.5
Karim,Mané,20-240,G,1/11/2021,ORL,,MIL,L,0.3,0,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-5.7
Karim,Mané,20-235,G,1/6/2021,ORL,,CLE,W,0.3,0,4,0,1,0,0,1,0,0,0,,2,2,1,0,0,0,0,0,0,1,0,2,-18.3
Cole,Anthony,20-248,G,1/18/2021,ORL,@,NYK,L,0.1,1,28,2,12,0.167,0,7,0,2,5,0.4,0,0,,0,5,5,1,1,1,1,3,6,-9.9
Karim,Mané,20-233,G,1/4/2021,ORL,,CLE,W,0,0,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5.5
Terrence,Ross,29-345,F-G,1/15/2021,ORL,@,BOS,L,-0.1,0,25,3,11,0.273,3,8,0.375,0,3,0,0,0,,0,5,5,1,0,0,1,2,6,-15.8
Dwayne,Bacon,25-125,G,1/2/2021,ORL,,OKC,L,-0.2,1,30,2,11,0.182,2,7,0.286,0,4,0,1,1,1,0,4,4,1,1,0,0,3,5,-13.6
James,Ennis,30-199,F,1/16/2021,ORL,@,BRK,L,-0.2,1,14,1,2,0.5,1,1,1,0,1,0,0,0,,1,2,3,0,0,1,2,3,2,-14.6
Terrence,Ross,29-350,F-G,1/20/2021,ORL,@,MIN,W,-0.2,0,24,4,14,0.286,4,9,0.444,0,5,0,0,1,0,2,3,5,5,0,0,3,6,8,-17.1
Cole,Anthony,20-232,G,1/2/2021,ORL,,OKC,L,-0.3,0,17,1,7,0.143,1,5,0.2,0,2,0,0,0,,2,3,5,1,0,0,0,2,2,-15.7
Jordan,Bone,23-060,G,1/4/2021,ORL,,CLE,W,-0.4,0,3,0,1,0,0,1,0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-19.3
Jordan,Bone,23-072,G,1/16/2021,ORL,@,BRK,L,-0.6,0,21,0,3,0,0,0,,0,3,0,0,0,,0,4,4,1,1,0,1,1,0,-14.5
